codigo_uc,unidade de conservação,área_ha_uc,Até 2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,TOTAL
0000.00.0022,APA do Igarapé Gelado,20714.67297,8955.77,119.53,0.0,5.15,0.0,0.0,10.63,0.0,0.0,0.09,0.0,0.0,9.81,23.75,7.68,14.29,0.0,
0000.00.0268,APA do Tapajós,2040336.181,69935.98,1648.94,1523.54,829.74,1352.57,2238.81,3246.37,2872.94,3437.89,3143.69,3229.61,3895.2,6552.78,6963.76,10646.08,11140.01,4879.106948,
0000.00.3407,APA dos Campos de Manicoré,152132.5318,28.11,0.0,24.53,4.32,16.52,0.0,0.0,0.0,0.0,11.59,26.83,11.19,40.52,0.0,20.45,29.66,1.70938,215.43
0000.00.0043,ARIE Projeto Dinâmica Biológica de Fragmento Florestais,3336.296293,74.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.26
0000.00.0044,ARIE Seringal Nova Esperança,2573.983775,611.03,13.01,25.32,28.75,34.4,222.0,26.89,132.5,89.38,78.45,61.09,55.34,70.91,57.78,119.1,61.31,90.599129,
0000.00.3131,ESEC Alto Maués,666555.9268,189.77,0.0,16.64,31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.94,5.56,33.46,145.82,56.26997,524.68
0000.00.0047,ESEC da Terra do Meio,3373152.365,46059.78,336.14,233.69,498.99,61.89,389.52,56.65,124.76,307.24,853.33,1145.55,1257.8,3287.5,1512.63,2893.97,4759.06,810.981235,
0000.00.0053,ESEC de Cuniã,182607.5596,1002.35,7.7,0.0,0.0,14.68,51.41,16.42,0.0,0.0,8.22,0.63,0.0,5.55,0.0,0.0,0.0,0.0,
0000.00.0056,ESEC de Jutaí-Solimões,289512.1768,1041.36,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0,6.943522,
0000.00.0057,ESEC de Maracá,154220.5917,2838.65,0.0,0.0,16.18,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0000.00.0058,ESEC de Maracá-Jipioca,58756.53658,948.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.71
0000.00.0067,ESEC do Jari,231110.801,722.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.3
0000.00.0072,ESEC Juami-Japurá,831349.7133,0.0,0.0,0.0,0.0,45.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44,295.54,561.64,680.778445,
0000.00.0060,ESEC Niquiá,306402.8541,40.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55
0000.00.0083,FLONA de Altamira,723342.2758,2177.83,886.84,1501.13,263.71,1309.23,5101.72,2470.63,2630.82,37.44,685.22,114.01,950.77,2091.57,5851.39,3557.04,2816.86,950.747168,
0000.00.0084,FLONA de Anauá,259092.1162,25.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,0.0,34.6
0000.00.0085,FLONA de Balata-Tufari,1061955.635,5375.33,40.81,114.83,48.02,66.98,20.89,15.75,60.57,6.97,32.6,20.21,27.75,30.68,49.52,134.34,32.87,14.0205,
0000.00.0088,FLONA de Carajás,331372.5621,5377.73,250.26,190.19,53.69,31.44,143.82,19.76,107.76,137.59,73.57,37.61,57.62,145.28,117.99,48.23,44.35,72.354774,
0000.00.0089,FLONA de Caxiuanã,317945.6689,1407.08,24.12,0.0,18.21,39.73,40.3,6.68,24.75,0.0,17.84,36.64,77.51,130.31,107.58,554.75,204.84,179.809448,
0000.00.0092,FLONA de Humaitá,476599.1041,641.95,0.31,0.0,7.14,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73,0.0,0.0,0.0,16.502389,710.16
0000.00.0095,FLONA de Itaituba I,213086.7979,594.93,0.0,0.0,0.0,0.0,0.0,35.57,0.0,34.09,46.6,40.11,8.99,134.8,114.86,144.63,14.36,14.888421,
0000.00.0096,FLONA de Itaituba II,397748.9298,4720.62,503.55,163.1,167.64,443.32,813.29,422.1,290.24,284.07,394.4,991.87,1506.53,1177.45,1325.63,1625.06,455.37,186.356535,
0000.00.0097,FLONA de Jacundá,220820.5651,3755.12,140.65,6.39,0.0,26.03,0.0,0.55,10.66,0.26,16.83,0.45,1.03,7.61,25.62,4.99,53.97,30.138714,
0000.00.0099,FLONA de Mulata,215544.7989,168.02,72.77,0.0,12.56,22.18,7.29,1.49,9.26,0.0,2.37,0.41,0.0,29.59,13.61,7.62,6.45,0.0,353.62
0000.00.0104,FLONA de Pau-Rosa,969424.8237,3616.5,58.47,17.72,56.35,26.86,0.0,4.47,6.7,0.0,0.0,12.84,0.0,6.35,0.0,7.07,9.87,20.266073,
0000.00.0106,FLONA de Roraima,169568.896,1193.65,396.76,46.79,220.03,167.61,36.01,191.69,50.69,10.02,143.71,0.0,0.0,0.0,232.22,49.31,66.64,20.387167,
0000.00.0107,FLONA de Santa Rosa do Purus,231553.4711,3030.87,79.66,25.03,167.74,96.04,88.63,0.53,60.03,0.0,9.44,36.99,17.73,69.7,60.88,45.58,34.9,6.457396,
0000.00.0108,FLONA de São Francisco,21141.4229,119.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.06
0000.00.0109,FLONA de Saracá-Taquera,441114.3688,14206.77,335.72,436.17,596.58,408.73,245.8,330.12,473.98,498.48,378.09,314.43,330.91,447.79,527.98,410.34,588.41,376.841281,
0000.00.0112,FLONA de Tefé,865118.514,9032.08,582.95,300.4,639.07,128.81,3.1,56.34,573.04,56.21,292.25,264.73,297.44,183.16,383.06,646.27,129.7,536.396152,
0000.00.3408,FLONA de Urupadi,537505.4865,2376.45,0.0,0.0,8.1,20.81,10.18,6.74,460.63,54.77,23.23,77.82,155.26,107.53,137.96,270.06,1446.14,190.096886,
0000.00.0271,FLONA do Amanã,682607.8645,3379.05,28.18,242.7,61.63,154.42,246.71,99.96,304.41,215.29,453.52,594.0,777.39,906.81,868.74,941.71,923.79,356.587645,
0000.00.0113,FLONA do Amapá,457446.4705,803.1,7.21,0.0,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.74
0000.00.0114,FLONA do Amazonas,1942317.693,2722.34,58.97,0.0,14.97,7.85,41.44,0.0,18.0,31.0,29.92,7.21,15.52,648.03,30.35,9.14,28.02,13.385708,
0000.00.3409,FLONA do Aripuanã,750971.3587,873.28,7.1,38.58,0.0,52.85,16.43,68.54,20.98,31.08,38.17,197.47,208.04,735.6,93.2,395.5,104.48,195.113576,
0000.00.0116,FLONA do Bom Futuro,98349.99248,11676.54,718.3,252.84,166.27,226.5,126.29,471.95,146.23,95.89,117.29,594.61,170.04,881.88,1127.61,1117.23,378.33,106.436565,
0000.00.0270,FLONA do Crepori,740391.0293,2767.84,26.77,73.44,34.25,13.29,6.75,8.67,12.85,73.86,163.34,218.24,209.74,328.52,298.59,301.8,132.36,105.245957,
0000.00.1612,FLONA do Iquiri,1470179.344,8300.03,559.53,281.41,53.89,303.99,58.57,120.14,9.0,50.64,48.59,11.67,61.44,99.27,44.03,82.08,46.12,119.252511,
0000.00.0117,FLONA do Itacaiunas,54264.80073,18955.89,653.16,191.89,22.51,6.54,14.49,30.92,6.29,17.77,34.16,50.29,35.7,48.2,113.9,18.97,34.63,34.080751,
0000.00.0266,FLONA do Jamanxim,1301564.832,108112.63,7416.66,10326.43,1183.12,1298.92,3079.76,6487.29,4934.85,9250.5,7305.89,2509.74,7280.34,10073.5,12198.6,18982.12,10985.97,2591.999971,
0000.00.0118,FLONA do Jamari,222161.9651,7523.39,106.9,17.66,10.05,0.0,0.0,0.0,0.02,0.0,0.0,16.53,46.91,59.95,69.84,56.87,0.0,0.0,
0000.00.0119,FLONA do Jatuarana,567925.22,1262.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,6.99,3.53,4.99,40.629269,
0000.00.0120,FLONA do Macauã,176367.7026,248.11,0.0,0.0,0.0,12.49,0.0,0.0,0.0,18.03,0.0,12.76,0.0,0.0,0.0,0.0,0.0,0.0,291.39
0000.00.4617,FLONA do Parima,109483.89,23.03,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9
